000286	6	Occam Networks
000287	6	Adapcom
000288	6	Global Village Communication
000289	6	DNE Technologies
00028A	6	Ambit Microsystems Corporation
00028B	6	VDSL Systems OY
00028C	6	Micrel-Synergy Semiconductor
00028D	6	Movita Technologies, Inc.
00028E	6	Rapid 5 Networks, Inc.
00028F	6	Globetek, Inc.
000290	6	Woorigisool, Inc.
000291	6	Open Network Co., Ltd.
000292	6	Logic Innovations, Inc.
000293	6	Solid Data Systems
000294	6	Tokyo Sokushin Co., Ltd.
000295	6	Mavenir Ipa Uk Ltd
000296	6	Lectron Co,. Ltd.
000297	6	C-COR.net
000298	6	Broadframe Corporation
000299	6	Apex, Inc.
00029A	6	Storage Apps
00029B	6	Kreatel Communications AB
00029C	6	3Com
00029D	6	Merix Corp.
00029E	6	Information Equipment Co., Ltd.
00029F	6	L-3 Communication Aviation Recorders
0002A0	6	Flatstack Ltd.
0002A1	6	World Wide Packets
0002A2	6	Hilscher GmbH
0002A3	6	Hitachi Energy Switzerland Ltd
0002A4	6	AddPac Technology Co., Ltd.
0002A5	6	Hewlett Packard
0002A6	6	Effinet Systems Co., Ltd.
0002A7	6	Vivace Networks
0002A8	6	Air Link Technology
0002A9	6	RACOM, s.r.o.
0002AA	6	PLcom Co., Ltd.
0002AB	6	CTC Union Technologies Co., Ltd.
0002AC	6	3PAR data
0002AD	6	HOYA Corporation
0002AE	6	Scannex Electronics Ltd.
0002AF	6	TeleCruz Technology, Inc.
0002B0	6	Hokubu Communication & Industrial Co., Ltd.
0002B1	6	Anritsu, Ltd.
0002B2	6	Cablevision
0002B3	6	Intel Corporation
0002B4	6	Daphne
0002B5	6	Avnet, Inc.
0002B6	6	Acrosser Technology Co., Ltd.
0002B7	6	Watanabe Electric Industry Co., Ltd.
0002B8	6	Whi Konsult Ab
0002B9	6	Cisco Systems, Inc
0002BA	6	Cisco Systems, Inc
0002BB	6	Continuous Computing Corp
0002BC	6	LVL 7 Systems, Inc.
0002BD	6	Bionet Co., Ltd.
0002BE	6	Totsu Engineering, Inc.
0002BF	6	dotRocket, Inc.
0002C0	6	Bencent Tzeng Industry Co., Ltd.
0002C1	6	Innovative Electronic Designs, Inc.
0002C2	6	Net Vision Telecom
0002C3	6	Arelnet Ltd.
0002C4	6	OPT Machine Vision Tech Co., Ltd
0002C5	6	Evertz Microsystems Ltd.
0002C6	6	Data Track Technology PLC
0002C7	6	Alpsalpine Co,.Ltd
0002C8	6	Technocom Communications Technology (pte) Ltd
0002C9	6	Mellanox Technologies, Inc.
0002CA	6	EndPoints, Inc.
0002CB	6	TriState Ltd.
0002CC	6	M.C.C.I
0002CD	6	TeleDream, Inc.
0002CE	6	FoxJet, Inc.
0002CF	6	ZyGate Communications, Inc.
0002D0	6	Comdial Corporation
0002D1	6	Vivotek, Inc.
0002D2	6	Workstation AG
0002D3	6	NetBotz, Inc.
0002D4	6	PDA Peripherals, Inc.
0002D5	6	Acr
0002D6	6	NICE Systems
0002D7	6	EMPEG Ltd
0002D8	6	BRECIS Communications Corporation
0002D9	6	Reliable Controls
0002DA	6	ExiO Communications, Inc.
0002DB	6	Netsec
0002DC	6	GENERAL Inc.
0002DD	6	Bromax Communications, Ltd.
0002DE	6	Astrodesign, Inc.
0002DF	6	Net Com Systems, Inc.
0002E0	6	ETAS GmbH
0002E1	6	Integrated Network Corporation
0002E2	6	NDC Infared Engineering
0002E3	6	LITE-ON Communications, Inc.
0002E4	6	JC HYUN Systems, Inc.
0002E5	6	Timeware Ltd.
0002E6	6	Gould Instrument Systems, Inc.
0002E7	6	CAB GmbH & Co KG
0002E8	6	E.D.&A.
0002E9	6	CS Systemes De Securite - C3S
0002EA	6	Focus Enhancements
0002EB	6	Pico Communications
0002EC	6	Maschoff Design Engineering
0002ED	6	DXO Telecom Co., Ltd.
0002EE	6	Nokia Danmark A/S
0002EF	6	CCC Network Systems Group Ltd.
0002F0	6	AME Optimedia Technology Co., Ltd.
0002F1	6	Pinetron Co., Ltd.
0002F2	6	eDevice, Inc.
0002F3	6	Media Serve Co., Ltd.
0002F4	6	PCTEL, Inc.
0002F5	6	VIVE Synergies, Inc.
0002F6	6	Equipe Communications
0002F7	6	Arm
0002F8	6	SEAKR Engineering, Inc.
0002F9	6	MIMOS Berhad
0002FA	6	DX Antenna Co., Ltd.
0002FB	6	Baumuller Aulugen-Systemtechnik GmbH
0002FC	6	Cisco Systems, Inc
0002FD	6	Cisco Systems, Inc
0002FE	6	Viditec, Inc.
0002FF	6	Handan BroadInfoCom
000300	6	Barracuda Networks, Inc.
000301	6	Exfo
000302	6	Charles Industries
000303	6	JAMA Electronics Co., Ltd.
000304	6	Pacific Broadband Communications
000305	6	MSC Vertriebs GmbH
000306	6	Fusion In Tech Co., Ltd.
000307	6	Secure Works, Inc.
000308	6	AM Communications, Inc.
000309	6	Texcel Technology PLC
00030A	6	Argus Technologies
00030B	6	Hunter Technology, Inc.
00030C	6	Telesoft Technologies Ltd.
00030D	6	Uniwill Computer Corp.
00030E	6	Core Communications Co., Ltd.
00030F	6	Digital China (Shanghai) Networks Ltd.
000310	6	E-Globaledge Corporation
000311	6	Micro Technology Co., Ltd.
000312	6	TRsystems GmbH
000313	6	Access Media SPA
000314	6	Teleware Network Systems
000315	6	Cidco Incorporated
000316	6	Nobell Communications, Inc.
000317	6	Merlin Systems, Inc.
000318	6	Cyras Systems, Inc.
000319	6	Infineon AG
00031A	6	Beijing Broad Telecom Ltd., China
00031B	6	Cellvision Systems, Inc.
00031C	6	Svenska Hardvarufabriken AB
00031D	6	Taiwan Commate Computer, Inc.
00031E	6	Optranet, Inc.
00031F	6	Condev Ltd.
000320	6	Xpeed, Inc.
000321	6	Reco Research Co., Ltd.
000322	6	IDIS Co., Ltd.
000323	6	Cornet Technology, Inc.
000324	6	LIMNO Co., Ltd.
